source,food_id,name_local,name_en,lang,category,serving_basis,energy_kcal,protein_g,phosphorus_mg,potassium_mg,sodium_mg,notes
,A0100101,大麥仁,,zh-TW,穀物類,100g,364.6228,8.5578,164.6799,249.1658,12.6115,
,A0110101,大麥片,,zh-TW,穀物類,100g,364.6155,8.636,129.095,245.965,7.185,
,A0120101,大麥仁粉,,zh-TW,穀物類,100g,388.8475,7.118,165.699,307.271,9.83,
,A0200101,小米,,zh-TW,穀物類,100g,370.1938,11.3135,164.29,201.92,1.0,
,A0200201,糯小米,,zh-TW,穀物類,100g,360.1972,12.465,107.5975,142.4715,1.206,
,A0300101,小麥,,zh-TW,穀物類,100g,361.6418,14.118,240.805,364.35,1.37,
,A0310101,小麥胚芽,,zh-TW,穀物類,100g,417.0033,31.362,1172.745,986.125,3.115,
,A0320101,去筋麵粉,,zh-TW,穀物類,100g,354.9493,0.181,38.2861,9.027,28.606,
,A0320202,低筋麵粉,,zh-TW,穀物類,100g,363.6075,8.0855,74.845,147.535,1.43,
,A0320301,中筋麵粉,,zh-TW,穀物類,100g,361.0283,11.4535,75.86,124.835,3.65,
,A0320404,高筋麵粉,,zh-TW,穀物類,100g,361.5771,12.945,81.325,107.835,0.8,
,A0320405,高筋麵粉(2021年取樣),,zh-TW,穀物類,100g,362.2052,13.805,86.09,97.78,0.98,
,A0320505,全麥麵粉,,zh-TW,穀物類,100g,359.2716,12.968,251.0123,276.5703,1.6383,
,A0320601,雜糧中筋麵粉,,zh-TW,穀物類,100g,360.9425,13.113,174.852,207.31,1.906,
,A0320702,雜糧高筋麵粉,,zh-TW,穀物類,100g,360.2967,14.288,190.678,218.074,2.3,
,A0400101,白玉米,,zh-TW,穀物類,100g,65.8248,3.4,100.0,200.0,5.0,
,A0400201,紫玉米,,zh-TW,穀物類,100g,167.894,4.461,138.5514,252.8611,0.9235,
,A0400301,甜玉米,,zh-TW,穀物類,100g,106.9033,3.25,83.5367,268.7839,1.8639,
,A0400401,雙色水果玉米,,zh-TW,穀物類,100g,105.403,3.104,92.355,238.702,0.212,
,A0400501,糯玉米,,zh-TW,穀物類,100g,172.1804,4.727,137.284,272.717,1.17,
,A0400601,冷凍玉米粒,,zh-TW,穀物類,100g,173.5786,3.1,72.0,210.0,8.0,
,A0410101,乾玉米粒,,zh-TW,穀物類,100g,373.0182,10.8765,273.333,258.931,0.744,
,A0410201,玉米胚芽,,zh-TW,穀物類,100g,365.8851,7.035,65.0028,93.834,1.3895,
,A0420101,玉米粉,,zh-TW,穀物類,100g,368.578,0.323,14.342,4.272,13.778,
,00A05001,秈米平均值,,zh-TW,穀物類,100g,356.5641,7.823,75.029,99.3163,1.8395,
,A0500101,秈米(台中在來2號),,zh-TW,穀物類,100g,354.788,8.2,77.0,114.0,2.0,
,A0500102,秈米(台中秈10號),,zh-TW,穀物類,100g,358.3403,7.446,73.058,84.6325,1.679,
